tags,elapsed_s,start_unix,end_unix
"['parser-parse', '965c6213-4981-408b-bac4-c485cc3e2a2e']",59.10,1713122687.44,1713122746.54
"['write-jsonl', '965c6213-4981-408b-bac4-c485cc3e2a2e']",0.01,1713122746.54,1713122746.55
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-20632.zip']",90.45,1713122656.11,1713122746.55
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-20632.zip']",91.96,1713122654.59,1713122746.56
"['initialize-parser', 'f7b9f52d-e180-4e1e-b8a3-9c1a531491dd']",0.00,1713122747.66,1713122747.66
"['parser-parse', '90f4278f-933d-4717-aca0-5f46d32762f0']",59.79,1713122686.74,1713122746.54
"['write-jsonl', '90f4278f-933d-4717-aca0-5f46d32762f0']",0.01,1713122746.54,1713122746.55
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-11876.zip']",90.45,1713122656.11,1713122746.55
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-11876.zip']",91.96,1713122654.59,1713122746.55
"['initialize-parser', 'c931a93f-9cac-4ab3-9535-ad23ccb50112']",0.00,1713122747.66,1713122747.66
"['parser-parse', 'cedf2ed7-2b7d-435e-86c8-9b735080103f']",60.41,1713122686.44,1713122746.86
"['write-jsonl', 'cedf2ed7-2b7d-435e-86c8-9b735080103f']",0.00,1713122746.86,1713122746.86
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-14814.zip']",92.11,1713122654.75,1713122746.86
"['finished-parsing', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-14814.zip']",92.25,1713122654.61,1713122746.86
"['initialize-parser', '367395c4-67f9-4b83-9a27-317f9663e82f']",0.00,1713122747.84,1713122747.84
"['parser-parse', '6bb17459-44a8-497b-bc13-122291ac9f2b']",60.30,1713122686.58,1713122746.88
"['write-jsonl', '6bb17459-44a8-497b-bc13-122291ac9f2b']",0.00,1713122746.88,1713122746.89
"['parse-pdfs', '/lus/eagle/projects/tpc/braceal/metric-rag/data/raw_pdfs/scaling-data/zip-scaling-data/10pdfs-36859.zip']",92.17,1713122654.72,1713122746.89
